severity,code,position_id,event_id,strategy,signal_id,contract_address,entry_time,exit_time,entry_price,exit_price,pnl_pct,reason,anomaly_type,details_json
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_149724,6qGBJd8TaXP4nzNdCoFfyytM7RZfdwVNRcju6mfuLqpK,2025-08-14T10:47:00+00:00,2025-08-14T16:46:00+00:00,0.0001269710346047,0.0004190544952057,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_149727,GQsefQc5YPE12wkMnYMxD8Rq1wrRX7f9iFgpBjNpBAGS,2025-08-14T11:02:00+00:00,2025-08-14T17:01:00+00:00,0.0008261069696517,0.000967240481818,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_149762,NJxAmP4tJZyRVaU5i2jG2ZmfguXzDjCQ67ZqRyBh111,2025-08-14T15:01:00+00:00,2025-08-14T21:00:00+00:00,170278.75262480252,482687.2929290675,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_149838,AaWppRqTaUQ7Bikjhp7TDW4UTukJdeCDKapFEYwtbonk,2025-08-14T22:21:00+00:00,2025-08-15T04:20:00+00:00,0.0004082814697898,0.0005728310736916,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_149840,TgjK296F6PYWg3eRbRcEk9QQwA83eNwpm5JsRcdbonk,2025-08-14T22:31:00+00:00,2025-08-15T04:30:00+00:00,0.0002120965797064,0.0006182239354428,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_149996,BicHfpfxTPa8MjpgWofKAhtk8KGHHsiMgpYVeJAGpump,2025-08-15T12:56:00+00:00,2025-08-15T18:55:00+00:00,0.0002946172647042,0.0004380578798386,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_150108,GvtiRXe6fdSKpYXPTVubYFk5KkuzEzCSKJmJiHyqpump,2025-08-16T01:37:00+00:00,2025-08-16T07:14:00+00:00,5.989604771371432e-05,4.8171594039594245e-05,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_150116,BdN2AF7h555TiTpxASirVBhG21dwcr5VNCcnW2BJbdG6,2025-08-16T02:39:00+00:00,2025-08-16T08:38:00+00:00,0.0012060826203491,0.0020992234587556,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_150197,3hFEAFfPBgquhPcuQYJWufENYg9pjMDvgEEsv4jxpump,2025-08-16T11:22:00+00:00,2025-08-16T17:21:00+00:00,0.0001600986466905,0.0004586315956876,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_150203,GYKBbafCYFwd9gYrZuVQ4yYwdHgbxJ1HRQh8jN6Apump,2025-08-16T11:41:00+00:00,2025-08-16T17:40:00+00:00,0.000193078699431,0.0006353009335552,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_150569,HuSyZB3ChbYngnQPSBWtmqceqKDUzghHCqppVf1Mpump,2025-08-18T07:29:00+00:00,2025-08-18T08:58:00+00:00,0.0001185553709402,0.0005408887370118,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_150597,6kjzL6NBtwhzdhZJASqHMimfaxNBGqKd2h6JHnnbRuao,2025-08-18T16:20:00+00:00,2025-08-18T16:30:00+00:00,0.0001139571984523,0.0005199103562791,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_150728,Ey3XV7Cw3tE4dUXoFC4zoNujRXN7u7dBf21vsZFcbonk,2025-08-19T00:19:00+00:00,2025-08-19T06:18:00+00:00,0.000416506083181,0.0008440397158473,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_150819,7efSphu3seotNZcBxjGuNMPAA6Vz2WAJa8VBMHHrQ777,2025-08-19T12:20:00+00:00,2025-08-19T17:37:00+00:00,0.0009713123099796,0.002007369842816,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_150832,6pvtv14ye2nvxqCR8fc8y7TTU6SkLGyaSVnVNS9V6777,2025-08-19T13:32:00+00:00,2025-08-19T19:31:00+00:00,0.0003508658474773,0.0004646342813577,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_150880,CuPrcDMz7CmzMeH8oGpmPXCTQfDmit2pgEE9UM1Dpump,2025-08-19T18:53:00+00:00,2025-08-20T00:52:00+00:00,0.0003895055710028,0.0006115457235825,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_151035,BdPuBiKDf7osgLxwJyuDWz123U94PgNpj3m2Z9Myo777,2025-08-20T13:50:00+00:00,2025-08-20T19:49:00+00:00,0.0001450457725641,0.000225756261798,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_151057,tdvjgx6fMQgEhkEn888DQZimU2y4u71Ch2U6p7pN777,2025-08-20T16:04:00+00:00,2025-08-20T22:03:00+00:00,0.0002028382590316,0.0004696115726139,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_151071,i1f1o1sxUeqizm8pGTnvcF859QdvwPEAQnA935fpump,2025-08-20T17:30:00+00:00,2025-08-20T23:24:00+00:00,9.756608977478852e-05,7.856616198659466e-05,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_151226,D5yrGcAZ1B9uQStfhVLz2wJo2bFUMUKvgDazhhLCpump,2025-08-21T09:42:00+00:00,2025-08-21T15:41:00+00:00,9.4882376197971e-05,9.833875230809896e-05,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
